10	0.011685716104166664	0.010856867914999999
20	0.015970172345833335	0.015649485650000003
30	0.023471904487500007	0.0232079837
40	0.03465872397083333	0.034049938754999995
50	0.04221476504583335	0.038866635530000006
60	0.04949407497916662	0.046837676249999995
70	0.056980847279166635	0.05603340959999998
80	0.07290511288333335	0.06737699177
90	0.07944995939166669	0.07469012018999999
100	0.09072565508333336	0.08761013724999998
110	0.11743866813750005	0.11272792276000007
120	0.12351657329166663	0.11868262104999996
