15	0.8	13.850000000000001	14.05
15	0.9	13.100000000000001	12.65
15	1	14.450000000000001	12.75
15	1.1	13.25	13.65
15	1.2	nan	nan
15	1.3	nan	nan

16	0.8	13.450000000000001	13.15
16	0.9	nan	nan
16	1	13.100000000000001	12.950000000000001
16	1.1	12.9	13.15
16	1.2	12.65	12.350000000000001
16	1.3	13.4	nan

17	0.8	14.05	13.3
17	0.9	13.65	12.65
17	1	13.5	12.8
17	1.1	13	12.4
17	1.2	13.850000000000001	12.200000000000001
17	1.3	nan	nan

18	0.8	14.9	13.05
18	0.9	13.450000000000001	13.05
18	1	13.3	12.15
18	1.1	13.55	12.3
18	1.2	13.100000000000001	12.350000000000001
18	1.3	13.950000000000001	nan

19	0.8	14.950000000000001	13.700000000000001
19	0.9	13.9	13
19	1	13.15	12.600000000000001
19	1.1	13.4	12.25
19	1.2	13.100000000000001	12.3
19	1.3	12.9	12.15

20	0.8	14.350000000000001	13.55
20	0.9	13.700000000000001	12.9
20	1	13.55	12.600000000000001
20	1.1	13.05	12.3
20	1.2	12.850000000000001	11.950000000000001
20	1.3	12.8	12.05

21	0.8	14.350000000000001	13.55
21	0.9	13.8	12.950000000000001
21	1	13.55	12.700000000000001
21	1.1	13.8	12.350000000000001
21	1.2	13.450000000000001	11.65
21	1.3	13.600000000000001	12.200000000000001

22	0.8	14.25	13.600000000000001
22	0.9	14.450000000000001	12.950000000000001
22	1	14.3	12.4
22	1.1	13.4	12.8
22	1.2	13.450000000000001	12.100000000000001
22	1.3	13.15	11.8

23	0.8	14.600000000000001	13.65
23	0.9	13.8	13
23	1	13.850000000000001	12.65
23	1.1	13.75	12.3
23	1.2	13.55	12.05
23	1.3	nan	nan

24	0.8	14.450000000000001	13.9
24	0.9	13.950000000000001	13.350000000000001
24	1	13.9	13.05
24	1.1	13.450000000000001	12.5
24	1.2	13.600000000000001	nan
24	1.3	nan	nan

25	0.8	14.8	13.8
25	0.9	14.450000000000001	13.600000000000001
25	1	13.950000000000001	12.65
25	1.1	14.05	12.25
25	1.2	nan	nan
25	1.3	13.350000000000001	nan
