10	0.011415566220000005	0.008855450400000003	0.012934744083333335	0.011236430575000001	0.40654183686666673	0.32208906645000007	0.52471707325	0.4556214047000001
20	0.014134209779999997	0.013804053175	0.016465420833333338	0.015948899125	0.8356395207000001	0.7439802906249999	0.8872617276666668	0.8753975442500002
30	0.02381944694000001	0.020573680549999997	0.02607817455000001	0.023652748525000006	1.2346132784000001	1.1464791157499998	1.0339303592	1.0485032249999997
40	0.06477247369999999	0.02804052512500001	0.036957538533333355	0.02997929935	1.776308976183333	1.792705548025	1.1686747667500006	1.057038651625
50	0.16293457636	0.03131021202499999	0.04254207481666668	0.037046259449999994	5.776308976183333	5.792705548025	1.5656787429833336	1.4125103797
60	0.28583932721999994	0.03807276297500001	0.05531454270000002	0.0443681312	10.776308976183333	10.792705548025	1.2856505034499999	1.1130411702000003
70	0.2774580812399999	0.04361429585	0.06799735616666665	0.058615646325000006	10.776308976183333	10.792705548025	1.8786747667500006	1.75057038651625
80	0.44353465763999994	0.04926877277499999	0.08131923541666666	0.06639139750000002	10.776308976183333	10.792705548025	10.1686747667500006	10.057038651625	
90	0.4348876815833333	0.055301037225	0.16101735675	0.07715422897499999	10.776308976183333	10.792705548025	10.1686747667500006	10.057038651625	
100	0.46057612018333344	0.07016165700000002	0.11703182204999997	0.10004694677499999	10.776308976183333	10.792705548025	10.1686747667500006	1.057038651625	
110	0.7188174763166665	0.065655832525	0.12581997750000004	0.10317967150000003	10.776308976183333	10.792705548025	10.1686747667500006	10.057038651625	
120	0.7284374994000002	0.070696788425	0.21885145581666662	0.11342292329999996	10.776308976183333	10.792705548025	10.1686747667500006	10.057038651625	
