1	0.014
2	0.028
3	0.041
4	0.043
5	0.046
6	0.052
7	0.0577
8	0.063
9	0.07
10	0.093
11	0.11
12	0.129
13	0.133
14	0.20
15	0.239
16	0.27
17	0.37
18	0.4
19	0.67
20	0.7
21	0.5
22	0.57
23	0.62
24	0.7
25	0.8
26	0.91
27	0.9
28	0.96
29	1.157
30	2.3
31	6.8
35	10.6

