P	$Q1$	$Q2$	$Q3$
1	0.45999999999999996	0.7818181818181817	0.7804906997159089
2	0.82	1.4636363636363634	1.4607937345966167
3	1.18	2.145454545454545	2.1406192013681
4	1.54	2.8272727272727267	2.8196778254453143
5	1.9	3.5090909090909084	3.497681453342804
6	2.26	4.1909090909090905	4.174343541540861
7	2.6199999999999997	4.872727272727272	4.849379640045665
8	2.9799999999999995	5.554545454545454	5.522507868912185
9	3.3399999999999994	6.236363636363635	6.19344938603965
10	3.6999999999999993	6.918181818181817	6.86192884460061
11	4.06	7.599999999999999	7.5276748385256465
12	4.42	8.281818181818181	8.190420334536096
13	4.78	8.963636363636363	8.849903089295994
14	5.140000000000001	9.645454545454545	9.505866050341265
15	5.500000000000001	10.327272727272726	10.158057739538096
16	5.860000000000001	11.009090909090908	10.80623261792265
17	6.2200000000000015	11.69090909090909	11.450151430879922
18	6.580000000000002	12.372727272727271	12.089581532729762
19	6.940000000000002	13.054545454545453	12.724297189901845
20	7.3000000000000025	13.736363636363635	13.354079861997844
21	7.660000000000003	14.406449672101557	13.978718460157197
22	8.020000000000003	15.045368049914675	14.574659877420338
23	8.380000000000003	15.657154044382098	15.138347631417602
24	8.740000000000002	16.245035177086933	15.673273439561276
25	9.100000000000001	16.811641857479238	16.182285045529323
26	9.46	17.359152060978516	16.667745290838962
27	9.82	17.88939371231103	17.131643826264288
28	10.18	18.40391900045487	17.575677658673303
29	10.54	18.90405951152308	18.00131055505991
30	10.899999999999999	19.390967915981644	18.409817721029043
31	11.259999999999998	19.865650020269964	18.80231998611082
32	11.619999999999997	20.3289897773458	19.17981036019516
33	11.979999999999997	20.78176906226643	19.543174944046456
34	12.339999999999996	21.224683494958217	19.893209594671276
35	12.699999999999996	21.658355236481803	20.230633353051612
36	13.059999999999995	22.08334343868107	20.55609937074778
37	13.419999999999995	22.500152853437662	20.87020388171768
38	13.779999999999994	22.90924098339404	21.173493630075473
39	14.139999999999993	23.311024065654053	21.46647206633493
40	14.499999999999993	23.705882113443863	21.749604552638534
41	14.859999999999992	24.09416319113156	22.023322763943202
42	15.219999999999992	24.476187060627613	22.288028431899026
43	15.579999999999991	24.85224830871931	22.544096547593437
44	15.93999999999999	25.222619042996744	22.791878115885577
45	16.29999999999999	25.58755122703578	23.0317025359017
46	16.65999999999999	25.947278712205208	23.263879668086748
47	17.01999999999999	26.302019012975776	23.488701637049253
48	17.37999999999999	26.651974864273903	23.706444410588407
49	17.739999999999988	26.997335592753497	23.917369188225845
50	18.099999999999987	27.338278328488357	24.121723626884545
51	18.459999999999987	27.674969079235222	24.31974292676277
52	18.819999999999986	28.007563685870274	24.511650796713035
53	19.179999999999986	28.336208674694813	24.697660315378023
54	19.539999999999985	28.661042019911015	24.877974701820705
55	19.899999999999984	28.98219382758608	25.052788007307566
56	20.259999999999984	29.299786950774163	25.222285738178282
57	20.619999999999983	29.613937544087683	25.386645418296045
58	20.979999999999983	29.924755564853825	25.546037098367457
59	21.339999999999982	30.232345227018218	25.70062381840738
60	21.69999999999998	30.53680541313436	25.85056202876864
61	22.05999999999998	30.838230049078316	25.99600197443176
62	22.41999999999998	31.136708445532868	26.13708804663377
63	22.77999999999998	31.43232560977638	26.273959105389693
64	23.13999999999998	31.725162530875295	26.40674877601067
65	23.49999999999998	32.015296441003805	26.535585722336894
66	23.859999999999978	32.302801055290516	26.660593899071387
67	24.219999999999978	32.587746792311606	26.7818927853141
68	24.579999999999977	32.77677777777778	26.89959760114781
69	24.939999999999976	32.77677777777778	27.013819508912167
70	25.299999999999976	32.77677777777778	27.124665800615087
71	25.659999999999975	32.77677777777778	27.232240072767734
72	26.019999999999975	32.77677777777778	27.336642389786746
73	26.379999999999974	32.77677777777778	27.437969436982737
74	26.739999999999974	32.77677777777778	27.53631466404462
75	27.099999999999973	32.77677777777778	27.631768419833186
76	27.459999999999972	32.77677777777778	27.724418079212583
77	27.819999999999972	32.77677777777778	27.81434816257367
78	28.17999999999997	32.77677777777778	27.90164044863708
79	28.53999999999997	32.77677777777778	27.986374081065406
80	28.89999999999997	32.77677777777778	28.0686256693619
81	29.25999999999997	32.77677777777778	28.14846938448713
82	29.61999999999997	32.77677777777778	28.2259770495839
83	29.97999999999997	32.77677777777778	28.301218226164213
84	30.339999999999968	32.77677777777778	28.374260296079445
85	30.699999999999967	32.77677777777778	28.445168539565685
86	31.059999999999967	32.77677777777778	28.51400620963016
87	31.419999999999966	32.77677777777778	28.58083460302117
88	31.779999999999966	32.77677777777778	28.64571312800305
89	32.139999999999965	32.77677777777778	28.7086993691387
90	32.499999999999964	32.77677777777778	28.769849149265326
91	32.77777777777778	32.77677777777778	28.82921658883364
92	32.77777777777778	32.77677777777778	28.886854162767005
93	32.77777777777778	32.77677777777778	28.942812754984537
94	32.77777777777778	32.77677777777778	28.9971417107208
95	32.77777777777778	32.77677777777778	29.04988888676465
96	32.77777777777778	32.77677777777778	29.101100699730335
97	32.77777777777778	32.77677777777778	29.150822172465727
98	32.77777777777778	32.77677777777778	29.199096978694733
99	32.77777777777778	32.77677777777778	29.24596748598409
100	32.77777777777778	32.77677777777778	29.291474797118344
101	32.77777777777778	32.77677777777778	29.33565878996105
102	32.77777777777778	32.77677777777778	29.378558155874927
103	32.77777777777778	32.77677777777778	29.420210436768826
104	32.77777777777778	32.77677777777778	29.46065206083506
105	32.77777777777778	32.77677777777778	29.49991837703643
106	32.77777777777778	32.77677777777778	29.538043688398663
107	32.77777777777778	32.77677777777778	29.575061284160515
108	32.77777777777778	32.77677777777778	29.611003470830656
